,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_sw,iq_ndvi_se,iq_ndvi_sw,iq_ndvi_ne,iq_ndvi_nw,sj_ndvi_se,iq_station_precip_mm,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_min_temp_c,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_station_max_temp_c,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm
1994-07-09,0.12325,0.2155667,0.11334289999999997,0.2627,,-886322.851483369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-16,0.1396,0.22405,0.1805857,0.2627,,-877864.7366457285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-23,0.0424,0.1201667,0.1907429,0.2627,,-869460.6035025867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-30,0.183,0.2658,0.1939,0.4067143,,-861110.2792408974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-08-06,-0.1209,0.1311,0.1122143,0.4067143,,-852813.5910476131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-08-13,0.04465,-0.0402,0.02865,0.2627,,-844570.3661096864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-08-20,0.06666667,-0.0157,0.22135,0.2627,,-836380.4316140712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-08-27,0.1564,0.130825,0.1767286,0.2627,,-828243.6147477201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-03,0.02185,0.14525,0.2040857,0.2627,,-820159.7426975846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-10,0.04585,0.076225,0.2479714,0.2627,,-812128.6426506191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-17,0.03225,-0.0436,0.192925,,,-804150.141793776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-24,0.1125,0.01885,,,,-796224.0673140083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-01,0.3633,0.1521,,,,-788350.2463982683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-08,0.1121,0.07636667,,,,-780528.5062335097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-15,0.0627,0.2151,,,,-772758.6740066851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-22,0.10885,0.0966,,,,-765040.5769047472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-29,0.03225,0.0368,,,,-757374.042114649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-11-05,0.0448,0.2155667,,,,-749758.8968233436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-11-12,0.3144667,-0.0384,,,,-742194.9682177837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-11-19,0.05305,0.0797,,,,-734682.0834849221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-11-26,0.16435,0.0966,,,,-727220.0698117116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-03,0.12526669999999998,0.079575,,,,-719808.7543851055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-10,0.0741,0.10975,,,,-712447.9643920563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-17,0.0979,0.09256667,,,,-705137.5270195168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-24,0.03225,-0.0095,,,,-697877.2694544402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,0.2438,0.045,0.1947778,0.2627,,-689641.0552150342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-08,0.223075,0.2193333,0.2587429,0.2627,,-682487.7438873216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-15,0.0627,0.1416333,0.17161429999999994,0.2627,,-675384.0692403516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-22,-0.1193,-0.0359,0.2293714,0.2887889,,-668329.8584610786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-29,0.05175,0.1268,0.1340714,0.2627,,-661324.9387364544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-05,0.0627,0.1449,0.2099429,0.2887889,,-654369.1372534321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-12,0.03233333,0.059325,0.17138570000000006,0.2887889,,-647462.2811989652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-19,0.0614,0.063525,0.2123286,0.2627,,-640604.1977600056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-26,0.0935,0.06486667,0.1254143,0.3164571,,-633794.7141235066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-05,0.07355,0.06865,0.10996,0.2627,,-627033.6574764212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-12,0.14535,0.079575,0.18648570000000006,0.2627,,-620320.8550057022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-19,0.0739,0.1150667,0.1547429,0.2316714,,-613656.1338983024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-26,0.031,0.23165,0.2497143,0.2316714,,-607039.3213411751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-02,0.19862,0.259575,0.3054571,0.2887889,,-600470.2445212724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-09,0.06895,0.2494,0.2684143,0.3406429,,-593948.730625548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-16,0.1281,0.03495,0.1489429,0.2887889,,-587474.6068409547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-23,0.1017,0.1127,0.2366143,0.3164571,,-581047.7003544443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-30,0.1281,0.150025,0.1873,0.2627,,-574667.838352971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-05-07,0.3144667,0.1521,0.15797139999999998,0.2316714,,-568334.8480234873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-05-14,0.14345,0.1115,0.17088570000000006,0.2627,,-562048.5565529461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-05-21,0.0363,0.096525,0.1605714,0.2627,,-555808.7911282999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-05-28,0.0322,0.16213329999999998,0.2402714,0.3164571,,-549615.378936502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-04,0.0795,0.2412,0.1095714,0.2627,,-543468.147164505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-11,0.15495,0.0278,0.2119,0.2627,,-537366.922999262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-18,0.08955,0.0797,0.15598570000000006,0.2627,,-531311.5336277259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-25,0.22135,0.2174,0.1920429,0.2627,,-525301.8062368494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-02,0.2319333,0.2115,0.2656857,0.2887889,,-519337.5680135855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-09,0.3093,0.2909,0.2420429,0.2887889,,-513418.6461448872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-16,0.1468,0.17265,0.2196714,0.3164571,,-507544.8678177073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-23,0.1175,0.10775,0.1664857,0.3164571,,-501716.06021899835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-30,0.0412,0.1898,0.1322286,0.2627,,-495932.0505357139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-08-06,0.0632,0.09466667,0.2030286,0.2627,,-490192.66595480655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-08-13,0.047,0.047,0.1653571,0.2627,,-484497.73366322904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-08-20,0.08396667,0.0917,0.1886714,0.2627,,-478847.0808479339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-08-27,0.1131,0.0862,0.1324714,0.3164571,,-473240.53469587455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-03,0.0326,0.07256667,0.1968143,0.4067143,,-467677.9223940043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-10,0.1071,0.1836,0.16995710000000006,0.2627,,-462159.0711292755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-17,0.0568,0.0546,0.1392,0.2887889,,-456683.8080886407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-24,0.1186333,0.0846,0.2176167,0.2627,,-451251.960459053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-01,0.1068,0.08366667,0.09934286,0.2627,,-445863.3554274658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-08,0.2808,0.2151,0.1295571,0.2627,,-440517.82018083136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-15,0.040825,0.0966,0.1375429,0.2627,,-435215.1819061028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-22,0.033625,0.09466,0.1194429,0.2627,,-429955.26779023313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-29,0.1396,0.1326,0.13744289999999998,0.2627,,-424737.9050201754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-11-05,0.2346,0.07825,0.2854286,0.3406429,,-419562.920782882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-11-12,0.0174,0.02905,0.2354857,0.2627,,-414430.1422653058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-11-19,0.0406,0.07475,0.1903429,0.2627,,-409339.3966544002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-11-26,0.0334,0.1148667,0.2549,0.2627,,-404290.51113711786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-03,0.08893333,0.076375,0.1688714,0.2627,,-399283.3129004117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-10,0.1154,0.135,0.2371143,0.2887889,,-394317.62913123425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-17,-0.0139,0.01473333,0.1348,0.2627,,-389393.2870165391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-24,-0.1193,0.03596667,0.1116571,0.3164571,,-384510.1137432783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,0.014,0.01086667,0.1204429,0.2627,,-378979.5334299946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-08,0.1514333,0.12623330000000002,0.1828,0.4067143,,-374183.9971811805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
