,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_sw,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,sj_ndvi_se,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,iq_ndvi_ne,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_station_max_temp_c,iq_station_precip_mm,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_min_temp_c
1990-07-09,0.192875,0.08235,0.1529286,0.2284143,,,0.1919429,299.512857143,299.592857143,296.041428571,301.8,298.0,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,22.27,43.72,81.4671428571,22.27,17.4185714286,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,63.7,1980114136.0688496,3397460196.9251275,601189643.2400601,1980114136.0688496,162593669.85894644,-337336440.4377114,44786561.199308276,29671880.68521478,346222932.72733563
1990-07-16,0.2916,0.2118,0.2806667,0.28221430000000003,,,0.3012,299.667142857,299.75,296.33428571400003,302.0,297.3,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,59.17,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.8,23.9,12.2,1968739220.984822,3377965371.3737206,597739535.8140845,1968739220.984822,161660511.90428996,-335401494.0173304,44529362.73624286,29501353.32897602,344235812.9361274
1990-07-23,0.15056670000000005,0.1717,0.2145571,0.17874289999999998,,,0.2269,299.55857142900004,299.635714286,295.96,301.8,297.1,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,16.48,42.53,80.7428571429,16.48,17.3414285714,2.0714285714300003,28.1142857143,6.35714285714,31.7,22.8,32.6,1957407952.088909,3358545263.6576304,594302653.3341254,1957407952.088909,160730931.18074447,-333473960.9417232,44273150.84718689,29331480.58334905,342256310.99981415
1990-07-30,0.192875,0.24715,0.3813571,,,,0.3797,299.862857143,299.95,296.172857143,303.0,298.3,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,32.66,34.6,80.58428571430001,32.66,17.5942857143,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,37.6,1946120245.483897,3339199730.316468,590878970.4046013,1946120245.483897,159804920.8185434,-331553826.9822994,44017923.63633281,29162261.189481586,340284412.2883865
1990-08-06,0.1286333,0.06433333,0.1388571,,,,0.16444289999999998,300.391428571,300.478571429,296.532857143,302.5,298.8,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,28.8,20.0,79.65,28.8,17.95,2.32857142857,28.2,7.55714285714,33.3,23.3,11.4,1934876017.2725716,3319928627.889839,587468461.6299325,1934876017.2725716,158882473.9479207,-329641077.9104675,43763679.20787364,28993693.888521537,338320102.17183536
1990-08-13,0.2931333,0.12803330000000002,0.16824289999999995,,,,0.2069571,299.958571429,299.957142857,297.035714286,302.6,298.5,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,90.75,101.9,84.1785714286,90.75,18.5157142857,1.85714285714,28.0428571429,6.68571428571,32.8,22.8,44.7,1923675183.557717,3300731812.917353,584071101.6145377,1923675183.557717,157963583.69911045,-327735699.49763703,43510415.666002065,28825777.421617113,336363366.02015126
1990-08-20,0.1902333,0.1688,0.1722857,0.3210571,,,0.1676571,300.332857143,300.414285714,296.728571429,302.5,298.1,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,32.4,25.9,80.9471428571,32.4,18.1742857143,2.48571428571,28.342857142899998,7.014285714289999,33.3,23.3,5.4,1912517660.44212,3281609141.938618,580686864.9628363,1912517660.44212,157048243.20234597,-325837677.51521736,43258131.11490989,28658510.52991581,334414189.2033243
1990-08-27,0.2529,0.33075,0.2843143,0.1824143,,,0.2641714000000001,300.11857142900004,300.221428571,297.017142857,302.2,298.7,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,40.94,39.8,83.3485714286,40.94,18.5157142857,1.9,28.657142857100002,6.52857142857,32.2,24.4,13.7,1901403364.028566,3262560471.4932437,577315726.2792468,1901403364.028566,156136445.58786145,-323946997.7346175,43006823.65879011,28491891.954565674,332472557.09134567
1990-09-03,0.2354,0.200025,0.2304429,0.3210571,,,0.2838167,300.53,300.635714286,296.11714285700003,303.8,298.0,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,28.86,30.4,77.1728571429,28.86,17.56,3.47142857143,28.3285714286,7.614285714289999,32.8,23.3,14.2,1890332210.4198396,3243585658.1208367,573957660.168189,1890332210.4198396,155228183.98589057,-322063645.92724675,42756491.40183574,28325920.436714552,330538455.05420566
1990-09-10,0.1279667,0.4371,0.14828329999999998,0.2761,,,0.1234,300.674285714,300.792857143,297.19285714299997,302.9,299.0,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,64.56,24.18,81.55142857140001,64.56,18.7771428571,2.9,28.6857142857,8.05714285714,33.9,24.4,25.9,1879304115.7187276,3224684558.361007,570612641.234082,1879304115.7187276,154323451.52666712,-320187607.8645142,42507132.44823858,28160594.717510514,328611868.46189487
1990-09-17,0.19635,0.1824333,0.3056857,0.2284143,,,0.2548286,299.857142857,299.9,296.43142857099997,301.7,298.7,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,143.73,36.6,81.6371428571,143.73,17.8928571429,1.74285714286,28.2428571429,8.114285714289997,32.8,23.9,3.3,1868318996.0280142,3205857028.7533617,567280644.0813453,1868318996.0280142,153422241.34042504,-318318869.31782913,42258744.90219203,27995913.53810127,326692782.6844043
1990-09-24,0.1161,0.2609,0.2442167,0.2284143,,,0.1994429,300.42714285700004,300.6,296.028571429,302.4,299.1,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,51.39,16.4,77.0485714286,51.39,17.4685714286,2.2571428571400003,28.342857142899998,7.72857142857,32.8,24.4,15.8,1857376767.4504857,3187102925.837511,563961643.3143969,1857376767.4504857,152524546.5573978,-316457416.05860096,42011326.867887735,27831875.639634684,324781183.0917239
1990-10-01,0.22855,0.18975,0.2011857,0.3210571,,,0.2124857,300.775714286,300.85,296.664285714,303.3,299.1,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,31.18,36.1,78.52,31.18,18.18,2.9,28.771428571399998,8.02857142857,33.3,23.9,11.7,1846477346.0889275,3168422106.1530614,560655613.5376567,1846477346.0889275,151630360.30781937,-314603233.85823864,41764876.44951901,27668479.7632586,322877055.05384475
1990-10-08,0.17115,0.06755,0.15771670000000002,0.3886143,,,0.1794667,299.857142857,299.94285714299997,296.928571429,301.8,298.1,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,51.42,132.4,84.11,51.42,18.5128571429,2.5714285714300003,28.6285714286,7.314285714289999,33.3,24.4,57.7,1835620648.0461245,3149814426.2396216,557362529.3555441,1835620648.0461245,150739675.72192377,-312756308.48815143,41519391.751277894,27505724.65012113,320980383.940757
1990-10-15,0.12135,0.0702,0.16575,,,,0.1816167,299.195714286,299.30714285700003,296.544285714,301.5,297.5,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,143.55,279.6,85.6214285714,143.55,18.1157142857,1.87142857143,27.6285714286,7.4,32.8,23.3,61.8,1824806589.424863,3131279742.6368017,554082365.3724777,1824806589.424863,149852485.92994446,-310916625.7197485,41274870.87735748,27343609.041369937,319091155.12245184
1990-10-22,0.1462,0.08975,0.1239286,0.28221430000000003,,,0.12882860000000002,298.902857143,299.042857143,296.257142857,300.9,297.2,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,127.03,94.52,85.5028571429,127.03,17.75,1.8,26.771428571399998,7.62857142857,32.2,21.7,91.5,1814035086.3279288,3112817911.884209,550815096.1928779,1814035086.3279288,148968784.0621156,-309084171.3244392,41031311.93195012,27182131.678153157,317209353.9689196
1990-10-29,0.25225,0.1834333,0.2959,0.1824143,,,0.318,299.727142857,299.778571429,296.534285714,301.4,298.5,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,101.35,22.26,82.7871428571,101.35,18.0342857143,1.78571428571,27.971428571399997,8.64285714286,33.3,22.8,6.3,1803306054.8581069,3094428790.521452,547560696.4211628,1803306054.8581069,148088563.24867088,-307258931.07363266,40788713.01924825,27021291.301618434,315334965.8501508
1990-11-05,0.1526,0.181775,0.1866286,0.2761,,,0.1783286,299.972857143,300.035714286,296.564285714,302.2,298.5,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,20.46,14.4,81.7157142857,20.46,18.0742857143,2.38571428571,28.471428571399997,8.42857142857,33.3,23.9,6.6,1792619411.1181824,3076112235.0881386,544319140.6617513,1792619411.1181824,147211816.61984384,-305440890.73873824,40547072.24344455,26861086.652913757,313467976.13613594
1990-11-12,0.2908,0.2246,0.2348857,0.2284143,,,0.1803857,300.35,300.5,295.687142857,302.3,298.8,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,20.0,7.1,75.72857142859999,20.0,17.0857142857,2.2,27.5428571429,8.6,32.8,22.2,38.9,1781975071.2109416,3057868102.1238794,541090403.5190636,1781975071.2109416,146338537.3058687,-303630036.0911649,40306387.708731785,26701516.473187074,311608370.19686604
1990-11-19,0.2722,0.33035,0.1253833,0.2284143,,,0.13163329999999998,299.511428571,299.635714286,295.375714286,301.6,297.0,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,20.04,36.7,78.1514285714,20.04,16.752857142899998,2.52857142857,26.8,7.414285714289999,31.7,22.2,9.6,1771372951.239169,3039696248.1682796,537874459.5975174,1771372951.239169,145468718.43697888,-301826352.9023221,40066657.51930186,26542579.503586084,309756133.40233105
1990-11-26,0.13676670000000002,0.216525,0.1415857,0.2284143,,,0.17678570000000002,298.238571429,298.26428571400004,294.81142857099996,300.2,296.5,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,33.61,44.3,81.38571428569999,33.61,16.2085714286,1.98571428571,26.2,7.12857142857,31.1,20.6,26.7,1760812967.3056512,3021596529.7609506,534671283.5015338,1760812967.3056512,144602353.14340848,-300029826.94361895,39827879.77934834,26384274.485258944,307911251.12252223
1990-12-03,0.1098,0.0886,0.2517,0.3210571,,,0.2667833,298.542857143,298.685714286,294.782857143,300.8,296.7,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,9.96,71.8,79.9085714286,9.96,16.161428571400002,2.05714285714,25.985714285700002,5.54285714286,29.4,22.2,69.0,1750295035.513173,3003568803.4414988,531480849.8355305,1750295035.513173,143739434.55539125,-298240443.9864645,39590052.59306306,26226600.159353286,306073708.72742987
1990-12-10,0.12135,0.26166,0.2099857,0.2761,,,0.1913857,298.202857143,298.278571429,292.004285714,300.6,296.1,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,4.1,68.7228571429,0.0,13.6157142857,2.98571428571,24.6857142857,7.77142857143,29.4,19.4,2.8,1739819071.964521,2985612925.7495337,528303133.2039271,1739819071.964521,142879955.8031608,-296458189.80226827,39353174.06463893,26069555.267017126,304243491.58704454
1990-12-17,0.2931333,0.2668667,0.3027286,0.3210571,,,0.2608571,298.297142857,298.37857142900003,294.55857142900004,300.9,296.0,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,52.45,32.31,80.0828571429,52.45,15.954285714300001,2.87142857143,25.714285714299997,6.58571428571,30.6,21.1,19.8,1729384992.762479,2967728753.2246637,525138108.2111437,1729384992.762479,142023910.0169511,-294683050.1624393,39117242.29826839,25913138.54939831,302420585.0713569
1990-12-24,0.3025,0.2772333,0.16162220000000002,0.28221430000000003,,,0.17126670000000002,298.038571429,298.085714286,292.10571428599997,299.8,295.3,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,5.46,69.6814285714,0.0,13.6828571429,2.28571428571,25.157142857100002,5.84285714286,28.9,21.1,20.9,1718992714.0098336,2949916142.4064965,521985749.4615975,1718992714.0098336,141171290.32699603,-292915010.83838683,38882255.39814395,25757348.747644767,300604974.55035764
1991-01-01,0.1465,0.14046670000000006,0.16731429999999994,0.2761,,,0.1515,297.06,297.135714286,291.907142857,299.0,293.9,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,4.8,72.9385714286,0.0,13.511428571400002,2.52857142857,24.3857142857,7.45714285714,29.4,18.9,5.3,1707166900.6073122,2929646315.448834,518398530.856007,1707166900.6073122,140201054.23156565,-290903070.47983754,38614853.48799637,25580069.297152348,298538906.20147496
1991-01-08,0.118,0.1004667,0.1376167,,,,0.2519,297.674285714,297.828571429,293.282857143,299.3,295.8,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,15.85,26.33,76.6285714286,15.85,14.671428571400002,1.88571428571,24.9142857143,6.31428571429,28.3,21.1,31.7,1696863911.7352026,2911986568.0641217,515273228.5405267,1696863911.7352026,139355753.04355556,-289150198.2055615,38381884.91741541,25425618.647546954,296738880.69049025
1991-01-15,0.28035,0.2935667,0.2179,,,,0.25994290000000003,297.422857143,297.657142857,293.412857143,299.3,296.1,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,27.4,78.5,0.0,14.798571428599999,2.0,25.2428571429,6.57142857143,29.4,21.1,16.5,1686602459.635529,2894397931.510595,512160512.6536016,1686602459.635529,138513856.36110622,-287404381.5286339,38149855.254828766,25271790.95741435,294946105.1941644
1991-01-22,0.3313,0.30933330000000003,0.2027571,0.1824143,,,0.2210286,297.88428571400004,298.15,292.38285714299997,300.3,296.0,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,0.7,71.5971428571,0.0,13.878571428599999,2.55714285714,24.714285714299997,7.77142857143,29.4,18.3,6.8,1676382460.4110775,2876880262.3278646,509060357.7996516,1676382460.4110775,137675357.31445137,-285665606.2204638,37918762.60442874,25118584.96790248,293160565.0824879
1991-01-29,0.0917,0.246425,0.1956,0.3720286,,,0.2438571,298.044285714,298.228571429,292.57285714299996,300.1,295.0,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,5.7,71.7842857143,0.0,14.0442857143,2.77142857143,24.8285714286,8.15714285714,30.0,18.9,5.9,1666203830.1646335,2859433417.0555377,505972738.58309513,1666203830.1646335,136840249.03382504,-283933858.05246043,37688605.07040827,24965999.420159414,291382245.7254511
1991-02-05,0.3801,0.2285667,0.2258,0.3886143,,,0.2550429,297.74,297.928571429,293.15,299.7,295.0,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,19.69,75.7942857143,0.0,14.541428571400001,2.42857142857,25.0571428571,6.885714285710001,30.0,20.6,7.3,1656066484.998983,2842057252.233223,502897629.6083517,1656066484.998983,136008524.6494609,-282209122.7960331,37459380.7569599,24814033.055332817,289611132.493045
1991-02-12,0.0712,0.2211,0.2673429,0.3210571,,,0.2762429,296.88428571400004,297.114285714,292.972857143,300.2,294.1,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,18.05,21.4,78.8957142857,18.05,14.46,3.2,25.1428571429,8.87142857143,32.2,18.9,5.6,1645970341.0169113,2824751624.40053,499835005.4798418,1645970341.0169113,135180177.2915928,-280491386.22259074,37231087.768276274,24662684.61457079,287847210.75526017
1991-02-19,0.2529,0.2094,0.1194,,,,0.1084333,297.414285714,297.614285714,293.63142857099996,300.1,295.8,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,26.2,79.74,0.0,15.0357142857,2.5714285714300003,25.842857142899998,8.47142857143,32.2,20.0,17.8,1635915314.3212035,2807516390.097065,496784840.80198246,1635915314.3212035,134355200.0904544,-278780634.10354286,37003724.208549455,24511952.83902099,286090465.8820869
1991-02-26,0.1702,0.2086,0.1914333,0.1824143,,,0.13752,297.505714286,297.828571429,293.407142857,299.8,295.8,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,31.79,23.8,77.9771428571,31.79,14.7942857143,2.11428571429,25.2571428571,7.2,30.6,20.0,30.7,1625901321.014645,2790351405.862439,493747110.1791937,1625901321.014645,133533586.17627965,-277076852.21029866,36777288.181972384,24361836.46983146,284340883.243516
1991-03-05,0.21075,0.2641,0.2163571,0.3210571,,,0.2476857,297.777142857,298.078571429,293.531428571,300.3,296.4,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,8.3,77.3157142857,0.0,14.92,2.24285714286,26.014285714299998,8.31428571429,31.1,20.6,10.9,1615928277.2000213,2773256528.236258,490721788.2158948,1615928277.2000213,132715328.6793023,-275380026.31426716,36551777.79273781,24212334.248149976,282598448.20953786
1991-03-12,0.09995,,0.2405429,,,,0.21325,297.43142857099997,297.635714286,293.335714286,300.1,295.7,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,13.37,78.1385714286,0.0,14.787142857100001,2.72857142857,25.9285714286,8.97142857143,31.7,20.6,3.6,1605996098.9801197,2756231613.758132,487708849.51650655,1605996098.9801197,131900420.72975641,-273690142.1868576,36327191.14503817,24063444.915124685,280863146.15014374
1991-03-19,0.1279,0.1784,0.1593,0.3886143,,,0.1470143,297.407142857,297.614285714,293.254285714,300.4,295.4,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,11.1,77.8828571429,0.0,14.7457142857,2.54285714286,26.0857142857,6.97142857143,32.2,21.1,5.7,1596104702.457723,2739276518.967669,484708268.6854451,1596104702.457723,131088855.45787534,-272007185.59947944,36103526.343065694,23915167.211903065,279134962.4353234
1991-03-26,0.28035,0.223575,0.2473857,0.2284143,,,0.2478833,297.47,297.69285714299997,293.74,301.0,295.7,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,21.26,80.0014285714,0.0,15.148571428599999,2.75714285714,26.0571428571,6.58571428571,32.2,22.2,26.9,1586254003.7356188,2722391100.4044766,481720020.32713145,1586254003.7356188,130280625.99389315,-270331142.3235416,35880781.49101347,23767499.879633382,277413882.4350678
1991-04-02,0.1691,0.216825,0.2219714,0.2410286,,,0.2605143,297.064285714,297.185714286,292.48,299.4,295.4,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,12.92,20.9,75.6628571429,12.92,13.9914285714,2.28571428571,25.2428571429,6.81428571429,28.9,20.6,4.1,1576443918.9165912,2705575214.608165,478744079.04598355,1576443918.9165912,129475725.46804361,-268661998.13045347,35658954.69307366,23620441.65946328,275699891.51936764
1991-04-09,0.1765,0.2763,0.17736670000000002,0.28221430000000003,,,0.1845333,297.372857143,297.657142857,293.61571428599996,299.2,295.9,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,6.0,19.78,79.6285714286,6.0,14.9928571429,2.62857142857,25.3,6.5142857142900015,28.9,21.1,18.8,1566674364.1034272,2688828718.118342,475780419.4464228,1566674364.1034272,128674147.01056068,-266999738.79162413,35438044.05343935,23473991.29254082,273992975.0582134
1991-04-16,0.0774,0.1024,0.2061667,0.28221430000000003,,,0.16355,297.284285714,297.392857143,292.17,298.9,296.0,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,44.57,21.9,73.3514285714,44.57,13.7328571429,2.01428571429,25.514285714299998,6.27142857143,29.4,21.1,19.4,1556945255.3989105,2672151467.4746146,472829016.1328661,1556945255.3989105,127875883.75167778,-265344350.078463,35218047.67630254,23328147.520013742,272293118.4215956
1991-04-23,0.2931333,0.18845,0.2249429,,,,0.1883143,298.07428571400004,298.23571428599996,294.028571429,299.6,296.7,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,32.72,19.7,78.4471428571,32.72,15.4614285714,2.3,26.528571428600006,8.014285714289999,32.8,21.7,3.5,1547256508.905828,2655543319.216593,469889843.7097342,1547256508.905828,127080928.82162917,-263695817.7623791,34998963.66585611,23182909.08303,270600306.97950506
1991-04-30,0.2091667,0.160575,0.1761714,0.1824143,,,0.1761714,298.831428571,299.071428571,294.97,301.0,297.1,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,0.0,8.38,79.36,0.0,16.314285714300002,2.8,27.3142857143,7.714285714289999,32.2,22.8,2.8,1537608040.726965,2639004129.8838854,466962876.7814448,1537608040.726965,126289275.35064837,-262054127.6147817,34780790.12629251,23038274.722737506,268914526.10193217
1991-05-07,0.11595,0.180175,0.1111857,0.2284143,,,0.1063857,298.638571429,298.721428571,294.812857143,300.9,297.2,0.2670150960383387,296.74,298.45,295.184285714,307.3,293.1,32.5,3.0,35.38,20.6,79.5414285714,35.38,16.185714285699998,2.41428571429,26.9285714286,6.92857142857,31.7,22.8,40.2,1527999766.965106,2622533756.0160995,464048089.9524185,1527999766.965106,125500916.46896921,-260419265.40708005,34563525.16180447,22894243.180284128,267235761.1588675
