,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_sw,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,sj_ndvi_se,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_station_max_temp_c,iq_station_precip_mm,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_min_temp_c
1999-11-05,0.06275,0.1034,0.16588329999999998,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-12,0.1235,0.095575,0.08956667,0.2503143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-19,-0.0454,0.0747,0.03943333,0.1907571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-26,0.0005,0.0712,0.08874,0.07298571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-03,0.1536,0.104775,0.09898571,0.1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-10,0.04044,0.0881,0.2146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-17,0.10558,0.078075,0.07642857,0.07298571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-24,0.1088,0.12705,0.09908571,0.1033167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,-0.1336,-0.061225,0.08631111,0.2322667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-08,0.20635,0.1613,0.09583333,0.2526333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-15,0.337,0.30785,0.16862860000000002,0.14542860000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-22,0.353,0.3073,0.2914286,0.13501670000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-29,0.3419,0.228,0.38142,0.17936670000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-05,0.29455,0.2239,0.1607,0.07298571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-12,0.0307,0.1061,0.1499286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-19,0.1931667,0.17314000000000002,0.08688571,0.2050857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-26,0.1882,0.2075,0.1469167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-04,0.17025,0.1962,0.1580429,0.1082429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-11,0.3779,0.22,0.1562286,0.15156670000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-18,0.2311,0.230875,0.0873,0.2989667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-25,0.2204,0.1969,0.1853,0.1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,-0.0864,0.14606670000000002,0.2118429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-08,0.2050333,0.04636667,0.2042857,0.2322667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-15,0.07435,0.102575,0.1372286,0.17936670000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-22,-0.287,0.0767,0.07655714,0.2769429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-29,0.1544,0.13275,0.1837429,0.2264714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-06,0.1302,0.1127,0.13345710000000002,0.2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-13,0.2204,0.09815,0.13438570000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-20,0.0865,0.08775,0.1601286,0.21152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-27,0.1882,0.1144,0.1126714,0.2264714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-03,0.0849,0.11876,0.13015710000000005,0.3221571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-10,0.1459,0.138175,0.1188429,0.2956833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-17,0.1097,0.0902,0.1521833,0.2050857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-24,0.1431,0.1623333,0.2421286,0.34397140000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,0.11045,0.1341,0.1527333,0.13225710000000002,0.3408857,0.2472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-08,0.0812,0.07275,0.06248333,0.2761,0.2894571,0.2416571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-15,0.17185,0.17685,0.2321714,0.1731286,0.2041143,0.1280143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-22,0.22305,0.18965,0.2455143,0.14542860000000002,0.2542,0.2003143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-29,0.1667,0.3276,0.2189714,0.3221286,0.2543714,0.3610429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05,0.13025,0.1474,0.1106,0.1907571,0.2316714,0.2553143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12,0.14415,0.1204667,0.2257571,0.3299857,0.3805857,0.3872714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-19,0.17645,0.1304,0.2054571,0.39224,0.34178000000000003,0.38275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-26,0.2156667,0.1542333,0.1828714,0.3221571,0.4067143,0.3027143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-02,0.0869,0.2435,0.19378570000000006,0.3210571,0.3146143,0.3242571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-09,0.1591,0.0836,0.21125,0.2956833,0.3122143,0.2659286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-16,0.0577,0.1507,0.2543429,0.3097571,0.3878833,0.3281571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-23,0.1961,0.1446667,0.20995,0.2957167,0.4048429,0.2425714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,-0.0121,0.1337,0.13696670000000002,0.09948333,0.2257143,0.1827857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-07,0.253975,0.16295,0.2687429,0.2769429,0.2775,0.25505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-14,0.38,0.26065,0.27105,0.1339143,0.3498,0.1009167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-21,0.10035,0.0895,0.08204286,0.1870571,0.3739429,0.27947140000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-28,0.1535,0.2298,0.091525,0.30555,0.45538,0.3258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-04,0.19015,0.168,0.1104333,0.21152,0.3044,0.2796167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-11,0.1105667,0.0267,0.04188571,0.15156670000000005,0.34725,0.2318667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-18,0.0979,0.012,0.06461429,0.03586,0.1954857,0.06418333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25,0.0081,0.0323,0.09903333,0.2893,0.3009833,0.1709167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-02,0.12015,0.13648,0.1356667,0.2538,0.3235143,0.3191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-09,0.11875,0.0806,0.04611667,0.1824143,0.2545667,0.18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-16,0.0044,0.08713333,-0.02248571,0.3168286,0.3503429,0.2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-23,0.0632,0.04675,-0.06345714,0.16905710000000002,0.2348667,0.3022429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,0.004833333,0.006633333000000001,0.2024143,0.2285286,0.2505857,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-08,0.09436667,0.0958,0.16468329999999998,0.2035167,0.2674333,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-15,-0.1336,0.02165,0.17968570000000006,0.1033167,0.2582429,0.1767286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-22,0.0411,0.0514,0.2287714,0.1912667,0.12585710000000006,0.2314429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-29,0.00915,0.041225,0.2032571,0.2606667,0.3293857,0.3690714000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-05,0.2485,-0.0056,0.1619714,0.161,0.1966143,0.2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-12,-0.04485,0.0056,0.1674286,0.13501670000000002,0.1485286,0.1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-19,0.2170333,0.14523329999999998,0.2104571,0.0823,0.1297571,0.1840429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-26,0.4462667,0.3123,0.2732833,0.2282167,0.2245,0.2912833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-05,0.2485,0.25445,0.2567143,0.289,0.2068714,0.2063286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-12,0.4229,0.4229,0.1967143,0.1769,0.2063571,0.2041286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-19,0.1274333,0.059925,0.14088570000000006,0.1950333,0.1635429,0.28414290000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-26,0.0005,0.2705,0.2178143,0.15081670000000005,0.09465714,0.13225710000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-02,0.2127,0.1044,0.16288570000000002,0.3126429,0.2615,0.2584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-09,0.0081,0.30695,0.2761833,0.3709714000000001,0.3438857,0.3762714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-16,0.0728,0.07826667,0.2161286,0.28221430000000003,0.2621286,0.4074857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-23,0.10035,0.05855,0.1131857,0.2148429,0.27337140000000004,0.2288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-30,0.10558,-0.1055,0.17705710000000002,0.179,0.3128286,0.2625571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-07,0.0371,0.0705,0.06374286,0.1886,0.1962,0.2273286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-14,0.1031,0.0941,0.17655710000000002,0.31965,0.2627,0.3034857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-21,0.08607999999999999,0.07736,0.16794289999999998,0.3796667,0.1842429,0.26852859999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-28,0.0619,0.0333,0.1659857,0.3029429,0.3187143,0.3874429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-04,0.0312,0.02535,0.1901,0.1819143,0.2539714,0.2467286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-11,0.1667,0.0271,0.2212,0.2989667,0.2198714,0.2173429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-18,-0.02865,-0.01266667,0.1255571,0.1082429,0.05965714,0.1137571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-25,0.02185,-0.0601,0.1855857,0.2752857,0.3164571,0.3254143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-02,-0.0227,0.09093333,0.1882286,0.1932667,0.2704571,0.2421857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-09,-0.0817,0.0287,0.1808,0.3110571,0.2649857,0.4388429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-16,0.0073,0.06943333,0.1976857,0.2050857,0.1947429,0.3616333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-23,-0.0198,0.0057,0.1818,0.2526333,0.2182,0.3259857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-30,0.0287,0.1132,0.14394289999999998,0.1956167,0.1883143,0.1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-06,0.2467,0.2009,0.1882286,0.2377286,0.2236429,0.2043571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-13,0.08985,0.1278333,0.2051143,0.2735571,0.2658571,0.3664571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-20,0.0172,0.01255,0.2022143,0.1931143,0.2063429,0.2469143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-27,0.0728,,0.2011286,0.1999857,0.2331429,0.2646429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-03,-0.0273,0.068075,0.2707857,0.2410286,0.1908714,0.3389429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-10,0.1954,0.2356,0.3778571,0.2503143,0.2983,0.4290714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-17,-0.0412,0.04766667,0.1342857,0.34397140000000004,0.35867140000000003,0.3530429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-24,0.0986,0.122075,0.2469286,0.3886143,0.2854,0.31977140000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,0.16025,0.08955,0.1799714,0.2712857,0.2416857,0.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-08,0.0633,0.0633,0.2125857,0.3819571,0.4438,0.5460166999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-15,0.19015,,0.163,0.2971286,0.3454857,0.3820571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-22,-0.0141,0.2121,0.2228286,0.2392667,0.1845,0.2055714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-29,-0.01935,0.05955,0.1600286,0.2075667,0.2066143,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-05,0.0284,0.0086,0.09162857,0.2793429,0.3059714000000001,0.3714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-12,0.0941,0.1127,0.2132,0.2303,0.2773,0.29697140000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-19,0.1663,0.189975,0.2337,0.3304167,0.3406429,0.4415714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-26,0.21515,0.22615,0.1987,0.3613,0.30557140000000005,0.3699167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-03,-0.0468,-0.0406,0.0865,0.2264714,0.2992571,0.35047140000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-10,0.0081,0.097475,0.1787714,0.2355333,0.3155714000000001,0.3066429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-17,0.02285,0.05653333,0.05045714,0.2240714,0.2128143,0.1841286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-24,0.1814,0.1358667,0.1965111,0.3380778,0.2887889,0.3417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,0.05475,0.08103333,0.1423286,0.3484,0.3686429,0.3800143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-08,0.106425,0.29,0.17781670000000002,0.3759167,0.4102667,0.3833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-15,0.0594,0.0526,0.15628570000000006,0.14565,0.2780286,0.1976429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-22,0.0288,0.06663333,0.1462286,0.1483286,0.1121857,0.1419143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-29,0.0849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-05,-0.0674,0.0468,0.1097286,0.1733286,0.16874289999999995,0.1844286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-12,0.0491,0.092325,0.1978,0.2241429,0.3051,0.3732714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-19,0.0478,0.06175,0.17731429999999998,0.1224333,0.09594286,0.1251714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-26,0.0315,0.0962,0.16034289999999998,0.17874289999999998,0.08991429,0.2104143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-05,0.042,0.0511,0.2499833,0.2556,0.266,0.2973833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-12,0.0709,0.12545,0.1894857,0.1795,0.2698143,0.29923330000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-19,0.1535,0.1688,0.2480857,0.2483333,0.2302,0.2435143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-26,0.1777,0.3167,0.32092859999999995,0.27455,0.1987,0.2284571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-02,-0.0056,0.0013,0.1786,0.29622859999999995,0.1805,0.2763286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-09,-0.0263,0.03695,0.11435710000000003,0.1968143,0.2025857,0.2662857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-16,0.1105667,,0.17718570000000006,0.2121571,0.1889286,0.1949429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-23,-0.0176,0.0519,0.1116286,0.2614143,0.2485,0.2669286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-30,0.1506,0.1616,0.15365710000000002,0.1418286,0.1977286,0.2570714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-07,0.19375,0.1611,0.17591429999999994,0.17824289999999998,0.1773857,0.2101143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-14,0.1138,0.09725,0.2269286,0.1096333,0.2196143,0.1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-21,0.03345,0.1033,0.2002714,0.1776429,0.2308571,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-28,0.05325,0.0778,0.1696,0.17491429999999994,0.1881571,0.2386286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-04,0.04185,0.0722,0.1511429,0.2780857,0.2377286,0.3431857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-11,-0.03046667,0.05743333,0.1113286,0.2591333,0.3284143,0.3916286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-18,-0.00305,0.04446667,0.1528143,0.17351429999999998,0.2119714,0.2252143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-25,0.0371,0.1173,0.1969143,0.2791,0.1326143,0.2132857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-02,-0.009666667,0.0065,0.1649286,0.1266,0.1193571,0.07624286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-09,-0.02455,0.0196,0.2121,0.2350667,0.1511857,0.2129714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-16,-0.1567,0.03774,0.1803286,0.07298571,0.1112286,0.1179714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-23,-0.07045,-0.02133333,0.2245429,0.2631,0.2489857,0.34647140000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-30,-0.0836,0.0278,0.1011714,0.2601714,0.3492714000000001,0.2830571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-06,-0.0006,0.0551,0.2696571,0.2788429,0.3074571,0.3378429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-13,0.0001,0.03865,0.1385286,0.3059,0.2884,0.3608429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-20,0.0776,-0.0772,0.1704,0.31354,0.29505,0.3092667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-27,0.0009,-0.00445,0.1185286,0.2694429,0.2508571,0.3224714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-03,0.0895,0.0648,0.16375710000000002,0.1319714,0.2494571,0.1908857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-10,0.033,-0.02545,0.2399571,0.2941714,0.3234,0.1907714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-17,-0.0674,0.01655,0.14098570000000002,0.3472571,0.3386714000000001,0.3838714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-24,0.0541,0.03885,0.08348571,0.30842859999999994,0.2681143,0.3200429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-01,0.07375,0.07326667,0.06807143,0.17936670000000002,0.3142429,0.2741714000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-08,-0.05385,-0.0739,0.2187286,0.3857833,0.2314286,0.2459333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-15,0.0633,0.03505,0.1894143,0.1592429,0.2581286,0.2277143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-22,-0.1115,-0.1136,0.2082429,0.2144571,0.2997714,0.2229429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-29,0.00735,-0.02545,0.17954289999999998,0.2862143,0.2940571,0.31592859999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-05,0.2614,0.11022,0.3185,0.27695,0.2879286,0.3642857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-12,0.14783329999999995,-0.003125,0.2477286,0.2021571,0.2095143,0.1620286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-19,0.0073,-0.1225,0.1913857,0.27913330000000003,0.2156333,0.2982667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-26,-0.005633333000000001,-0.03725,0.29072859999999995,0.28522859999999994,0.29072859999999995,0.2563286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-03,-0.2439,-0.1209333,0.2488429,0.2528,0.3449571,0.34832859999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-10,-0.1743,-0.0723,0.1713,0.14242860000000002,0.2886714,0.1850714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
